scenario,window,mean,std,ci95,n
SMD3 Low (ds3=0.50),tier_spread_3yr,0.10706260085652726,0.018103064141622573,0.0025242620177631484,200
SMD6 Low (ds6=0.10),3,0.686435,0.006973935402625943,0.0009724342859012027,200
SMD6 Low (ds6=0.10),6,0.7964,0.0057628118136895685,0.0008035571692731961,200
SMD6 Low (ds6=0.10),9,0.8197349999999999,0.005560105664463563,0.0007752921513041237,200
SMD6 Low (ds6=0.10),tier_low_3yr,0.6393591624451149,0.013670292535758629,0.0019061635063418435,200
SMD6 Low (ds6=0.10),tier_high_3yr,0.7437566894373029,0.01255123973772764,0.0017501245920540428,200
SMD6 Low (ds6=0.10),tier_spread_3yr,0.10439752699218811,0.018804593757385846,0.0026220821740391056,200
SMI High (a=2.00),3,0.74623,0.006453456438219761,0.000899859539956704,200
SMI High (a=2.00),6,0.8387699999999999,0.005381180167955729,0.0007503430691315819,200
SMI High (a=2.00),9,0.8598649999999999,0.005141670448404881,0.0007169462207738916,200
SMI High (a=2.00),tier_low_3yr,0.7155038459218025,0.013862706953378672,0.0019329934618824395,200
SMI High (a=2.00),tier_high_3yr,0.7827070522803743,0.011415712301664743,0.0015917884808544374,200
SMI High (a=2.00),tier_spread_3yr,0.06720320635857176,0.017209174757058625,0.00239961952608968,200
RCS High (g=3.00),3,0.710355,0.007575551135066021,0.00105632261170101,200
RCS High (g=3.00),6,0.822415,0.006603996895819978,0.0009208506581610088,200
RCS High (g=3.00),9,0.844765,0.006370225663192793,0.0008882539751492243,200
RCS High (g=3.00),tier_low_3yr,0.6066885776801967,0.015666260408248214,0.002184478041924624,200
RCS High (g=3.00),tier_high_3yr,0.8273727401207708,0.010799214442032945,0.0015058250152816229,200
RCS High (g=3.00),tier_spread_3yr,0.22068416244057407,0.018640908190399506,0.0025992581230183925,200
RED3 High (dr3=1.00),3,0.6877900000000001,0.006102122581528457,0.0008508701145720237,200
RED3 High (dr3=1.00),6,0.805175,0.005655473012931796,0.0007885900203051868,200
RED3 High (dr3=1.00),9,0.8272449999999999,0.005281569369041748,0.0007364535002558087,200
RED3 High (dr3=1.00),tier_low_3yr,0.6384837121407101,0.012391965552343367,0.0017279156569571775,200
RED3 High (dr3=1.00),tier_high_3yr,0.7459440713751461,0.013116900859229215,0.0018289994649905398,200
RED3 High (dr3=1.00),tier_spread_3yr,0.10746035923443603,0.018368197217732585,0.002561231745564003,200
RED6 High (dr6=1.00),3,0.6865749999999999,0.006375294110862611,0.0008889607113040459,200
RED6 High (dr6=1.00),6,0.7974000000000001,0.005144900387762627,0.0007173965982998535,200
RED6 High (dr6=1.00),9,0.8260049999999999,0.004647039380078465,0.0006479756637005589,200
RED6 High (dr6=1.00),tier_low_3yr,0.638506591453538,0.013307486901905424,0.0018555744748827722,200
RED6 High (dr6=1.00),tier_high_3yr,0.7438544181345077,0.01259321562286499,0.001755977641664058,200
RED6 High (dr6=1.00),tier_spread_3yr,0.10534782668096974,0.01787702566850192,0.0024927435782444063,200
SMD3 High (ds3=1.00),3,0.6861400000000001,0.007019287713151491,0.0009787581388126126,200
SMD3 High (ds3=1.00),6,0.7976650000000001,0.006128847770992525,0.0008545966318153982,200
SMD3 High (ds3=1.00),9,0.8210599999999999,0.005831500664494508,0.0008131350316601528,200
SMD3 High (ds3=1.00),tier_low_3yr,0.637158914578333,0.013485362657740458,0.0018803771829117926,200
SMD3 High (ds3=1.00),tier_high_3yr,0.7453169862962084,0.012661643077567062,0.0017655190554007254,200
SMD3 High (ds3=1.00),tier_spread_3yr,0.1081580717178754,0.017142853852605642,0.0023903718463165386,200
SMD6 High (ds6=0.60),3,0.6857949999999999,0.006546982129195063,0.0009129006112122163,200
SMD6 High (ds6=0.60),6,0.79586,0.005686862052133854,0.0007929668572214114,200
SMD6 High (ds6=0.60),9,0.8196949999999998,0.005454537102266315,0.0007605718415411106,200
SMD6 High (ds6=0.60),tier_low_3yr,0.6381196367997088,0.01414688577115473,0.0019726188971321344,200
SMD6 High (ds6=0.60),tier_high_3yr,0.7440753406716136,0.012648142623135197,0.0017636365738452112,200
SMD6 High (ds6=0.60),tier_spread_3yr,0.10595570387190467,0.019126636659672715,0.0026669873160622116,200
All LOW  (best case),3,0.53425,0.006215102573570292,0.0008666238621391373,200
All LOW  (best case),6,0.6314,0.006100819617067863,0.000850688431312624,200
All LOW  (best case),9,0.65047,0.006262515469042777,0.0008732350396865997,200
All LOW  (best case),tier_low_3yr,0.47393255192742245,0.012481624566052209,0.0017404175649814093,200
All LOW  (best case),tier_high_3yr,0.6008396747130149,0.012691354072164939,0.0017696619084882838,200
All LOW  (best case),tier_spread_3yr,0.12690712278559252,0.017220831995821646,0.002401244992630111,200
All HIGH (worst case),3,0.7781950000000001,0.0070453513042289155,0.0009823924038457894,200
All HIGH (worst case),6,0.874675,0.005707834528085065,0.0007958912253862666,200
All HIGH (worst case),9,0.8966149999999999,0.005358803504514795,0.0007472229033316744,200
All HIGH (worst case),tier_low_3yr,0.6726886234870685,0.01583360501676892,0.0022078123037855783,200
All HIGH (worst case),tier_high_3yr,0.88953725773832,0.011405824916453061,0.0015904097998339433,200
All HIGH (worst case),tier_spread_3yr,0.2168486342512515,0.01911140044759017,0.0026648628032640647,200
